,Liga,Teamname,Reputation (aus Spielerwerten)
312,NBL,S.E. Melbourne Phoenix,70.86682285714286
314,Betclic Élite LNB,JL Bourg Basket,70.85617285714287
318,NBL,Perth Wildcats,70.83834285714286
320,NCAA,Kansas Jayhawks,70.81428571428572
321,State Cup,Hapoel B-Cure Laser Haifa,70.80728571428571
324,Winner League BSL,Ironi Kiryat Ata,70.79299999999999
326,Serie A UnipolSai,Happy Casa Brindisi,70.72072857142857
328,Türkiye Sigorta Basketbol Süper Ligi,Aliaga Petkim,70.70041857142857
330,7Days EuroCup,Prometey Slobozhanske,70.54828571428571
332,NCAA,Duke Blue Devils,70.54285714285714
333,NCAA,Michigan Wolverines,70.5
334,Türkiye Sigorta Basketbol Süper Ligi,AYOS Konyaspor,70.45876
336,NCAA,Baylor Bears,70.38705571428571
337,easyCredit Bundesliga,Basketball Löwen Braunschweig,70.37407571428572
340,NCAA,Virginia Cavaliers,70.37142857142858
341,NCAA,North Carolina Tar Heels,70.36910142857144
342,easyCredit Bundesliga,Niners Chemnitz,70.31624428571429
345,NCAA,Illinois Fighting Illini,70.31428571428572
346,FIBA Champions League,BC CBET Jonava,70.30662428571429
351,Betclic Élite LNB,Cholet Basket,70.28725
353,Serie A UnipolSai,GeVi Napoli Basket,70.23743
355,NCAA,Indiana Hoosiers,70.22857142857143
356,FIBA Champions League,JDA Dijon Basket,70.18896714285714
360,NCAA,Notre Dame Fighting Irish,70.17142857142856
361,Betclic Élite LNB,SLUC Nancy Basket,70.16624285714286
363,NCAA,Kentucky Wildcats,70.16233857142858
364,easyCredit Bundesliga,EWE Baskets Oldenburg,70.11527857142858
367,Serie A UnipolSai,NutriBullet Treviso,70.05619714285714
369,NBL,Adelaide 36ers,70.05259142857143
371,NCAA,USC Trojans,70.02857142857142
372,Winner League BSL,Hapoel Yossi Avrahami Eilat,70.01732
374,7Days EuroCup,Promitheas Patras,69.99659714285714
380,Betclic Élite LNB,Chorale Roanne,69.99315857142857
382,Stoiximan Basket League,AS Karditsas,69.96001
385,Serie A UnipolSai,Givova Scafati,69.93839714285716
387,Betsafe-LKL,BC Utenos Juventus,69.92857142857143
389,NCAA,Miami Hurricanes,69.91428571428571
390,NCAA,Virginia Tech Hokies,69.9
391,NCAA,Arizona Wildcats,69.87142857142858
392,Stoiximan Basket League,Aris BC,69.77743000000001
395,NCAA,Clemson Tigers,69.75644142857143
396,NBL,Illawarra Hawks,69.73414285714286
398,NCAA,NC State Wolfpack,69.71428571428571
399,Serie A UnipolSai,Openjobmetis Varese,69.70119714285713
401,NCAA,Syracuse Orange,69.69618428571428
402,Stoiximan Basket League,PAOK BC,69.68774
404,easyCredit Bundesliga,MHP RIESEN Ludwigsburg,69.68731
409,NCAA,Villanova Wildcats,69.68190142857142
410,Winner League BSL,Hapoel Bank Yahav Jerusalem,69.63851
416,,Maccabi Effie Capital Rishon LeZion,69.62924285714286
417,7Days EuroCup,Veolia Towers Hamburg,69.61253142857143
422,Serie A UnipolSai,Carpegna Prosciutto Pesaro,69.59750857142858
424,DBB-Pokal,MLP Academics Heidelberg,69.58086571428572
427,NBL,Sydney Kings,69.57690285714287
429,Betclic Élite LNB,Nanterre 92,69.54522285714286
431,NCAA,Alabama Crimson Tide,69.52844714285715
432,easyCredit Bundesliga,Fraport Skyliners,69.52512
434,NCAA,Arkansas Razorbacks,69.44640571428572
435,NCAA,Ohio State Buckeyes,69.44285714285715
436,Betclic Élite LNB,BCM Gravelines-Dunkerque,69.43781142857144
438,NCAA,Auburn Tigers,69.41774428571429
439,FIBA Champions League,Filou Oostende,69.40310714285714
444,ABA League,KK Igokea m:tel,69.39591857142857
448,Stoiximan Basket League,Kolossos H Hotels,69.37486000000001
451,NBL,Cairns Taipans,69.36965714285715
453,NCAA,Minnesota Golden Gophers,69.35714285714286
454,easyCredit Bundesliga,Syntainics MBC,69.33932285714286
457,Türkiye Sigorta Basketbol Süper Ligi,Onvo Büyükçekmece Basketbol,69.32377
459,Winner League BSL,Hapoel Gilboa Galil,69.29530142857142
461,NCAA,Pittsburgh Panthers,69.24285714285715
462,NCAA,Boston College Eagles,69.21428571428571
463,NCAA,Rutgers Scarlet Knights,69.14285714285714
464,NCAA,Wake Forest Demon Deacons,69.14285714285714
465,NBL,Tasmania JackJumpers,69.12379285714286
467,Betsafe-LKL,BC Neptunas Klaipeda,69.10528285714285
469,NCAA,Texas Tech Red Raiders,69.08571428571429
470,NCAA,Georgia Tech Yellow Jackets,69.08571428571429
471,Liga Nacional Básquetbol,AA Quimsa,69.05202428571428
475,NBL,Brisbane Bullets,69.04326571428571
477,State Cup,Hapoel Nofar Galil Elyon,69.02377857142858
480,Stoiximan Basket League,Ionikos Basket,68.99633714285714
482,easyCredit Bundesliga,medi bayreuth,68.88819571428573
485,NCAA,Houston Cougars,68.88691857142857
486,Winner League BSL,Hapoel Be'er Sheva,68.88485
488,NCAA,Gonzaga Bulldogs,68.85232285714285
489,LEB Oro,Hereda San Pablo Burgos,68.85014285714286
491,Betsafe-LKL,BC Siauliai,68.826
493,7Days EuroCup,WKS Slask Wroclaw,68.80085
495,NBL,Melbourne United,68.75993714285714
497,NCAA,Oregon Ducks,68.64285714285714
498,NCAA,Florida Gators,68.62761714285713
499,NCAA,Wisconsin Badgers,68.61428571428571
500,NCAA,South Carolina Gamecocks,68.58216285714286
501,Serie A UnipolSai,Pallacanestro Trieste,68.56008428571428
503,NCAA,West Virginia Mountaineers,68.47142857142858
504,NCAA,Tennessee Volunteers,68.43214
505,Serie A UnipolSai,Tezenis Verona,68.37521428571429
507,NCAA,Iowa Hawkeyes,68.36143
508,NCAA,Purdue Boilermakers,68.34285714285714
509,LEB Oro,MoraBanc Andorra,68.21795
511,Betclic Élite LNB,Limoges CSP,68.18023000000001
515,NCAA,LSU Tigers,68.16308714285714
516,NCAA,Oklahoma Sooners,68.15714285714286
517,NCAA,Louisville Cardinals,68.1104442857143
518,ABA League,KK Split,68.10841142857143
520,NCAA,Oklahoma State Cowboys,68.05714285714285
521,NCAA,Texas A&M Aggies,68.04618857142857
522,BNXT League,Okapi Aalst,68.01468714285714
524,NCAA,Ole Miss Rebels,67.99232857142857
525,Betclic Élite LNB,EB Pau-Lacq-Orthez,67.97628571428571
527,NCAA,Arizona State Sun Devils,67.94285714285715
528,Betsafe-LKL,BC Pieno Zvaigzdes,67.91428571428571
530,ABA League,KK Zadar,67.86245714285715
532,NCAA,TCU Horned Frogs,67.84285714285714
533,easyCredit Bundesliga,Würzburg Baskets,67.81936
536,ABA League,KK Mega MIS,67.79322571428571
538,NCAA,Northwestern Wildcats,67.77142857142857
539,NCAA,Nebraska Cornhuskers,67.74285714285715
540,NCAA,Missouri Tigers,67.68711428571429
541,NCAA,Stanford Cardinal,67.67142857142858
542,Betclic Élite LNB,ESSM Le Portel,67.61195714285715
544,easyCredit Bundesliga,BG Göttingen,67.58949857142856
547,NCAA,UConn Huskies,67.57142857142857
548,NCAA,Mississippi State Bulldogs,67.53067428571428
549,BNXT League,Heroes Den Bosch,67.50929428571428
552,NCAA,Vanderbilt Commodores,67.45131571428571
553,Basketball Champions League Americas,Instituto de Córdoba,67.43597142857143
557,BNXT League,Kangoeroes Basket Mechelen,67.36023857142857
559,NCAA,Iowa State Cyclones,67.24285714285715
560,NCAA,Kansas State Wildcats,67.17142857142856
561,NCAA,Maryland Terrapins,67.15714285714286
562,BNXT League,Belfius Mons-Hainaut,67.1518242857143
564,NCAA,Xavier Musketeers,67.08571428571429
565,BNXT League,Spirou Basket,67.0482857142857
567,BNXT League,Feyenoord Basketball,67.01714285714284
569,Betclic Élite LNB,ADA Blois,67.00362857142856
571,,Maccabi Ashdod,67.0
572,NCAA,Penn State Nittany Lions,67.0
573,BNXT League,Landstede Hammers Zwolle,66.98746
575,BNXT League,Circus Brussels Basketball,66.97893285714285
577,NCAA,Memphis Tigers,66.93935
578,NCAA,Providence Friars,66.90895428571429
579,NCAA,Colorado Buffaloes,66.9
580,NCAA,Michigan State Spartans,66.81428571428572
581,LEB Oro,ICG Força Lleida,66.78571428571429
583,BNXT League,Stella Artois Leuven Bears,66.73742857142858
585,NCAA,Cincinnati Bearcats,66.71125142857143
586,NCAA,Georgia Bulldogs,66.63242571428572
587,ABA League,KK Borac Mozzart,66.60509142857143
589,NCAA,St. John's Red Storm,66.57142857142858
590,NCAA,Dayton Flyers,66.56901
591,BNXT League,Telenet Giants Antwerp,66.53983714285714
593,easyCredit Bundesliga,Rostock Seawolves,66.47979857142857
595,NCAA,Saint Louis Billikens,66.45714285714286
596,ABA League,KK Mornar-Barsko Zlato,66.44235714285715
598,NCAA,Utah Utes,66.41428571428571
599,LNB ProB ,Élan Chalon,66.40759857142857
601,NCAA,Tulane Green Wave,66.3981
602,NCAA,Washington Huskies,66.38646285714286
603,NCAA,San Diego State Aztecs,66.36718571428572
604,Stoiximan Basket League,Apollon Patras,66.2513457142857
606,LNB ProB ,Orléans Loiret Basket,66.20230428571429
608,NCAA,California Golden Bears,66.18571428571428
609,NCAA,Wyoming Cowboys,66.16499714285715
610,BNXT League,Hubo Limburg United,66.13667
612,NCAA,SMU Mustangs,66.09517857142858
613,NCAA,BYU Cougars,66.0907557142857
614,BNXT League,Donar Groningen,66.07813285714286
616,NCAA,Oregon State Beavers,65.97142857142856
617,NCAA,San Diego Toreros,65.92937571428571
618,NCAA,East Carolina Pirates,65.89131285714286
619,BNXT League,Den Helder Suns,65.87142857142858
621,NCAA,Saint Mary's Gaels,65.79250285714286
622,NCAA,DePaul Blue Demons,65.77142857142857
623,Betsafe-LKL,BC Labas GAS Prienai,65.75985714285714
625,LEB Oro,Guuk Gipuzkoa Basket,65.71316142857142
627,NCAA,VCU Rams,65.66617
628,Betsafe-LKL,BC Gargzdai,65.62507285714285
631,LEB Oro,Zunder Palencia,65.59278714285713
633,BNXT League,Aris Leeuwarden,65.51971428571429
635,NCAA,Temple Owls,65.48684285714286
636,Betsafe-LKL,BC Nevezis Kedainiai,65.47142857142856
638,FIBA Champions League,KK FMP Meridian,65.40076571428571
642,NCAA,Washington State Cougars,65.4
643,NCAA,Portland Pilots,65.37088571428572
644,BNXT League,RSW Liège Basket,65.36099
646,LNB ProB ,Alliance Sport Alsace,65.34821428571428
648,Liga Nacional Básquetbol,CS San Martín Corrientes,65.34336714285715
650,LEB Oro,Movistar Estudiantes,65.29783857142857
652,NCAA,Georgetown Hoyas,65.27142857142857
653,BNXT League,ZZ Leiden,65.23542857142857
657,Betclic Élite LNB,Fos Provence Basket,65.21114571428572
659,NCAA,Colorado State Rams,65.1969057142857
660,NCAA,Florida Gulf Coast Eagles,65.16016285714286
661,NCAA,Marquette Golden Eagles,65.07142857142858
662,ABA League,KK Cibona,65.02314285714286
664,NCAA,Tulsa Golden Hurricane,65.00214000000001
665,NCAA,Butler Bulldogs,65.0
666,Liga Nacional Básquetbol,CA Boca Juniors,64.98879285714285
668,NCAA,Seton Hall Pirates,64.95714285714286
669,NCAA,Pepperdine Waves,64.95484428571429
670,NCAA,San Francisco Dons,64.95139999999999
671,NCAA,Nevada Wolf Pack,64.88172
672,NCAA,Lipscomb Bisons,64.87643285714286
673,NCAA,UAB Blazers,64.8738842857143
674,BNXT League,Yoast United,64.83357142857143
676,NCAA,New Mexico Lobos,64.81123714285714
677,LEB Oro,CB Almansa con Afanion,64.80435571428572
679,Basketball Champions League Americas,C.R. Flamengo,64.77487571428571
681,BNXT League,Apollo Amsterdam,64.69800000000001
683,Liga Nacional Básquetbol,CA Riachuelo,64.69518714285714
685,LNB ProB ,Béliers de Kemper,64.68298714285714
687,NCAA,UNLV Rebels,64.67496000000001
688,NCAA,Richmond Spiders,64.65714285714286
689,Basketball Champions League Americas,Vaqueros de Bayamón,64.65714285714286
691,NCAA,Santa Clara Broncos,64.65069
692,LEB Oro,Melilla Sport Capital,64.64583428571429
694,ABA League,KK SC Derby,64.61291571428572
696,A2 Ethniki Basket League,AO Agriniou,64.59859428571428
698,LNB ProB ,Saint-Vallier BD,64.50253285714287
700,Liga Nacional Básquetbol,Gimnasia y Esgrima de Comodoro,64.48402999999999
702,NCAA,Davidson Wildcats,64.47886714285714
703,A2 Ethniki Basket League,Iraklis Thessaloniki,64.46314571428572
705,NCAA,Utah State Aggies,64.44711
706,NCAA,Western Kentucky Hilltoppers,64.44093285714285
707,LNB ProB ,Champagne Châlons-Reims Basket,64.41336571428572
709,NCAA,Boise State Broncos,64.3987
710,NCAA,UCF Knights,64.39622428571428
711,NCAA,South Florida Bulls,64.39110714285714
712,ABA League 2,KK Krka,64.38350857142856
714,NCAA,Liberty Flames,64.35855142857142
715,NCAA,North Alabama Lions,64.31960142857142
716,LNB ProB ,Étoile Angers Basket,64.22924571428572
718,LEB Oro,HLA Alicante,64.22539714285715
720,LNB ProB ,Nantes Basket Hermine,64.21443857142857
722,NCAA,Wichita State Shockers,64.21155
723,NCAA,Bryant Bulldogs,64.20105428571428
724,A2 Ethniki Basket League,Panerythraikos BC,64.18615714285713
727,LEB Oro,TAU Castelló,64.09701714285714
729,A2 Ethniki Basket League,Ermis Schimatari,64.09104428571428
731,ABA League 2,KK Gorica,64.06323
733,NCAA,Middle Tennessee Blue Raiders,64.05714285714285
734,NCAA,Eastern Michigan Eagles,64.04879
735,LNB ProB ,Antibes Sharks,64.03963571428571
737,NCAA,North Florida Ospreys,64.01410000000001
738,NCAA,San José State Spartans,63.99182142857143
739,NCAA,Saint Joseph's Hawks,63.9
740,LNB ProB ,Boulazac Basket Dordogne,63.89996285714286
742,NCAA,Duquesne Dukes,63.89694714285714
743,LEB Oro,Leyma Coruña,63.89054714285714
745,NCAA,Toledo Rockets,63.89047000000001
746,NCAA,George Washington Colonials,63.84611428571429
747,NCAA,Stetson Hatters,63.80867285714285
748,NCAA,Central Arkansas Bears,63.78208000000001
749,Basketball Champions League Americas,C.A. Aguada,63.74981571428572
751,LNB ProB ,Aix-Maurienne Savoie Basket,63.73724142857143
753,LEB Oro,Cáceres Patrimonio de la Humanidad,63.68297571428572
755,LNB ProB ,Stade Rochelais,63.66981571428571
757,BNXT League,Basketball Academie Limburg,63.64285714285715
759,Greek A2 Basketball Cup,Maroussi BC,63.60929
762,ABA League,KK MZT Skopje Aerodrom ,63.58621428571429
764,NCAA,George Mason Patriots,63.58571428571429
765,NCAA,Pacific Tigers,63.57101285714286
766,German ProA,Medipolis SC Jena,63.54732714285715
769,Liga Nacional Básquetbol,Club Regatas Corrientes,63.49884714285714
771,NCAA,St. Bonaventure Bonnies,63.44285714285714
772,NCAA,Fresno State Bulldogs,63.41560571428571
773,A2 Ethniki Basket League,Aias Evosmou,63.41217857142857
775,NCAA,Valparaiso Beacons,63.40697
776,NCAA,Kennesaw State Owls,63.39482857142857
777,NCAA,Loyola Marymount Lions,63.38808714285715
778,LEB Oro,Grupo Alega Cantabria CBT,63.34285714285714
780,NCAA,Detroit Mercy Titans,63.33842857142857
781,NCAA,UMass Lowell River Hawks,63.33358428571428
782,NCAA,Fordham Rams,63.25714285714285
783,NCAA,UMBC Retrievers,63.20803857142857
784,NCAA,Kent State Golden Flashes,63.19780428571428
785,Liga Nacional Básquetbol,CA San Lorenzo,63.19139714285715
787,NCAA,Boston University Terriers,63.15714285714286
788,NCAA,Ball State Cardinals,63.12903428571428
789,LEB Oro,Club Ourense Baloncesto,63.12857142857143
791,NCAA,La Salle Explorers,63.11428571428571
792,NCAA,Jacksonville State Gamecocks,63.07648428571429
793,NCAA,Tennessee Tech Golden Eagles,63.07142857142858
794,NKL,Joniskio Delikatesas,63.04285714285714
796,NCAA,Bowling Green Falcons,63.04211571428571
797,LNB Chile,CD Colegio Los Leones,63.02842857142857
799,NCAA,Rhode Island Rams,63.0
800,NCAA,Missouri State Bears,62.99734285714286
801,NCAA,Southern Illinois Salukis,62.98736428571429
802,LNB ProB ,ALM Évreux Basket,62.98561714285714
804,A2 Ethniki Basket League,AO Tritonas,62.94742571428571
807,NCAA,Northern Kentucky Norse,62.90766428571428
808,Liga Nacional Básquetbol,CA Peñarol,62.89209571428571
810,Greek A2 Basketball Cup,Psychiko BC,62.89186285714286
813,NCAA,Marshall Thundering Herd,62.88571428571429
814,NCAA,Drake Bulldogs,62.86030428571429
815,NCAA,Maine Black Bears,62.85347857142857
816,A2 Ethniki Basket League,GS Eleftheroupoli Kavalas,62.84384142857143
819,NCAA,Morehead State Eagles,62.84285714285714
820,NCAA,Illinois State Redbirds,62.82035142857143
821,NCAA,Eastern Kentucky Colonels,62.78393142857143
822,NCAA,Hofstra Pride,62.77142857142857
823,Liga Nacional Básquetbol,Oberá Tenis Club,62.77007
825,NCAA,Belmont Bruins,62.75714285714285
826,NCAA,Wright State Raiders,62.75001857142856
827,NCAA,Northern Iowa Panthers,62.74684857142857
828,LEB Oro,UEMC Real Valladolid,62.74512714285714
830,NKL,BC Vytis,62.72877285714286
832,NCAA,Oakland Golden Grizzlies,62.72727999999999
833,NCAA,UT Martin Skyhawks,62.7
834,NCAA,Ohio Bobcats,62.67322714285715
835,NCAA,Air Force Falcons,62.66604428571429
836,ABA League 2,KK Helios Suns,62.66378714285715
838,NCAA,Northern Illinois Huskies,62.66286857142857
839,NCAA,Seattle U Redhawks,62.63022428571428
840,LNB ProB ,Lille Métropole Basket,62.62778000000001
842,Liga Nacional Básquetbol,Club Comunicaciones,62.62282142857143
844,A2 Ethniki Basket League,NE Megaridas,62.61893428571428
846,NCAA,Bradley Braves,62.61285
847,NCAA,Evansville Purple Aces,62.60554857142856
848,NCAA,Indiana State Sycamores,62.60483285714285
849,NCAA,Purdue Fort Wayne Mastodons,62.59894285714286
